"division","isFreshBlood","isHotStreak","isInactive","isVeteran","leaguePoints","losses","playerOrTeamId","playerOrTeamName","wins"
"I","false","false","false","false","662","71","69868141","GL AT WORLDSHAHA","131"
"I","true","false","false","false","469","176","21017098","SK Vardags","213"
"I","false","false","false","false","578","106","20401895","MM Kitty","146"
"I","false","false","false","false","557","56","20656837","v Cabochard","91"
"I","false","false","false","false","567","71","22447540","Godbro Onííchan","99"
"I","true","true","false","false","510","350","28887345","Eden Fox","398"
"I","false","false","false","false","453","142","60147380","Emta v2","174"
"I","false","false","false","false","595","149","19167766","Annes","202"
"I","false","false","false","false","554","69","81568141","qNrrlzEH","103"
"I","false","false","false","true","553","200","20965425","TRC Broxah","286"
"I","false","true","false","true","650","217","22043489","Mementoooooooooo","255"
"I","true","true","false","false","497","74","20894099","inF Minitroupax","121"
"I","false","false","false","false","705","324","48860577","xKanani","373"
"I","false","true","false","false","878","154","23717587","Kobbe","208"
"I","true","true","false","false","486","247","20624726","bRoEdER","293"
"I","false","false","false","false","570","43","19368439","Llyth","81"
"I","false","false","false","false","573","135","51626956","AUR Zergsting","166"
"I","false","false","false","false","581","79","172824","Cowcore","122"
"I","false","false","false","false","522","270","22126727","RAKOWE EUW","303"
"I","false","true","false","false","809","90","46517338","Kasing1","143"
"I","true","false","false","false","492","169","19789802","EU Reject","201"
"I","false","true","false","true","892","366","21045313","SPY Mikyx","453"
"I","true","false","false","false","488","61","23898982","civorodoT aciliM","96"
"I","false","false","false","true","666","179","19603230","lur1keen","222"
"I","false","false","false","false","693","136","19662872","TabZZx247","182"
"I","false","false","false","true","1124","72","71347673","NoXlAK","153"
"I","false","false","false","false","473","111","81577117","Krol Arturek","136"
"I","false","false","false","true","1175","115","21999355","Exileh","178"
"I","false","false","false","true","761","75","81578128","GL IN MACDONALD","160"
"I","false","false","false","false","734","58","81568140","Peanut smurf","111"
"I","false","false","false","true","513","137","81578126","Half Dardoch","249"
"I","false","false","false","false","505","126","28547984","dopa god2","185"
"I","false","false","false","true","888","213","22275693","CaedreI","350"
"I","true","false","false","false","467","172","19240537","Kektz","203"
"I","false","false","false","false","464","97","22768060","Free Agent Scenx","139"
"I","false","false","false","false","535","106","22731886","ESG Föur","144"
"I","false","false","false","true","710","207","32317426","4G Jiizuké","263"
"I","true","true","false","false","591","124","24404369","WARDAlN","181"
"I","true","true","false","false","466","202","70027354","whatever zoiren","244"
"I","true","false","false","false","452","202","23247536","nigelf","251"
"I","true","false","false","false","539","140","21047051","Allyssa","221"
"I","false","false","false","false","518","178","76660449","LoneTest","217"
"I","false","false","false","true","1350","53","82746988","TEAM24SEVEN","160"
"I","false","true","false","false","556","156","43851073","Dzonyyy","193"
"I","false","false","false","false","631","260","238734","IlIlllIllIIlIlII","300"
"I","false","false","false","true","586","88","20640228","ESG Phones","129"
"I","false","false","false","false","468","130","20046358","Lukezy","157"
"I","false","false","false","false","800","55","37067072","MM Lamabear","112"
"I","false","true","false","false","540","60","29935644","Abbee","98"
"I","false","false","false","true","801","152","19151853","mouz Upset","250"
"I","true","true","false","false","635","85","24643089","Maxlore","130"
"I","false","false","false","false","571","173","20162871","vANEZ","209"
"I","true","false","false","false","455","225","40696824","Chrisberg","286"
"I","false","false","false","true","455","73","20320114","Trashyyy","105"
"I","false","false","false","false","810","61","58717498","Wooliter","120"
"I","false","false","false","false","573","107","52199791","twohoyrz","141"
"I","false","false","false","false","598","113","27426799","Taikkii","155"
"I","false","false","false","false","737","72","19538899","EL Steeve","111"
"I","true","false","false","false","552","189","20951835","R Zhandia","241"
"I","false","false","false","false","469","30","77350121","M MasterHans","64"
